out_Qdhw,out_QradD,out_QradN,solar
0,14710.09149,0,1.00E-08
0,18599.4314,0,1.00E-08
0,1515.95305,0,1.00E-08
0,6228.100309,0,1.00E-08
0,5411.753553,0,1.00E-08
0,5428.96587,0,1.00E-08
0,5483.843566,0,1.00E-08
0,5374.696039,0,1.00E-08
0,5338.124854,0,1.00E-08
0,5293.375344,0,3.501717567
0,5812.138911,0,31.75206184
1272.132692,7833.626059,0,58.3935051
485.5758889,5457.175866,0,71.73789215
810.7881111,5487.277165,0,88.62175751
192.8848889,4369.257835,0,55.17571259
518.0971111,3459.547622,0,40.17510986
95.32122222,2975.547221,0,7.949845314
290.4485556,12933.52044,0,1.00E-08
160.3636667,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,10219.00403,0,1.00E-08
0,17816.80574,0,1.00E-08
853.5916754,17856.20544,0,1.00E-08
0,2844.173243,0,1.00E-08
0,6829.627304,0,1.00E-08
0,6063.216716,0,1.00E-08
0,6197.350307,0,1.00E-08
0,5863.495936,0,1.00E-08
0,6441.096948,0,1.00E-08
0,6338.053382,0,1.00E-08
0,5911.069123,0,2.413345814
0,5664.175819,0,22.76116371
1129.641898,3438.648888,0,40.55367661
388.0122222,4266.495649,0,53.66145706
290.4485556,2951.655982,0,49.92313766
95.32122222,3875.407538,0,45.85357285
160.3636667,4492.082555,0,28.72354889
322.9697778,5253.837285,0,7.192717075
127.8424444,10481.27751,0,1.00E-08
257.9273333,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,1938.806061,0,1.00E-08
0,18397.93362,0,1.00E-08
495.8582309,18444.98296,0,1.00E-08
0,977.3916139,0,1.00E-08
0,6484.960176,0,1.00E-08
0,4909.798321,0,1.00E-08
0,5042.25227,0,1.00E-08
0,4750.234328,0,1.00E-08
0,4914.962712,0,1.00E-08
0,4722.789995,0,1.00E-08
0,4780.23636,0,2.744589567
0,5006.392726,0,24.22809982
1097.120675,5781.36062,0,42.11525345
648.182,4328.524642,0,49.63921356
485.5758889,4457.663116,0,43.10898209
550.6183333,4497.751669,0,41.54740524
615.6607778,4672.567774,0,31.42081642
160.3636667,3144.895647,0,8.896255493
518.0971111,7753.800798,0,1.00E-08
257.9273333,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,17883.78309,0,1.00E-08
690.9855642,18816.13512,0,1.00E-08
0,338.4114319,0,1.00E-08
0,6261.110493,0,1.00E-08
0,4722.631138,0,1.00E-08
0,5398.378695,0,1.00E-08
0,5208.923482,0,1.00E-08
0,4708.082442,0,1.00E-08
0,4807.253006,0,1.00E-08
0,4733.838819,0,2.744589567
0,5077.559737,0,37.47784424
836.9508977,5975.714182,0,66.48531342
192.8848889,5134.137527,0,87.01693726
875.8305556,5323.765213,0,77.98419952
713.2244444,5497.317792,0,93.3191452
127.8424444,5195.822669,0,34.63861084
322.9697778,6049.450677,0,10.59979343
518.0971111,9236.868278,0,1.00E-08
127.8424444,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,5594.008023,0,1.00E-08
0,18527.15294,0,1.00E-08
0,18519.46499,0,1.00E-08
0,0,0,1.00E-08
641.8235644,9183.230334,0,1.00E-08
290.4485556,6304.290567,0,1.00E-08
290.4485556,4399.789365,0,1.00E-08
322.9697778,6182.105361,0,1.00E-08
257.9273333,4805.255534,0,1.00E-08
388.0122222,6882.340079,0,6.530230045
745.7456667,4992.09111,0,159.102417
0,5883.691637,0,454.124939
547.9528759,5757.319965,0,254.1141052
713.2244444,4712.578955,0,534.9404297
518.0971111,5615.491051,0,174.6418915
453.0546667,5853.048902,0,225.6357727
160.3636667,5651.024934,0,52.62173843
225.4061111,5894.226951,0,1.00E-08
518.0971111,9531.783844,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
877.5721474,9574.819281,0,1.00E-08
2009.350834,18603.52494,0,1.00E-08
2333.189046,18180.4107,0,1.00E-08
1428.691333,1924.221674,0,1.00E-08
290.4485556,6123.793671,0,1.00E-08
127.8424444,5074.148817,0,1.00E-08
518.0971111,6540.772673,0,1.00E-08
713.2244444,6801.965068,0,4.87401247
485.5758889,5513.847145,0,17.41394615
290.4485556,5392.242666,0,22.00403595
322.9697778,4335.502485,0,23.61293411
518.0971111,4312.515557,0,80.52185059
745.7456667,6508.029726,0,378.6322021
95.32122222,4675.931001,0,194.1149445
95.32122222,4465.248235,0,42.92456818
160.3636667,6573.653896,0,1.00E-08
745.7456667,8320.953497,0,1.00E-08
95.32122222,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,15849.0322,0,1.00E-08
0,18556.54502,0,1.00E-08
0,1192.452689,0,1.00E-08
0,6370.100323,0,1.00E-08
0,5041.416447,0,1.00E-08
0,5598.238224,0,1.00E-08
0,5230.578032,0,1.00E-08
0,5260.67279,0,1.00E-08
0,5530.995669,0,1.00E-08
0,5691.694114,0,3.028512478
0,5217.748158,0,27.77713776
1313.333159,6371.40857,0,60.80685425
355.491,5625.143398,0,59.2452774
680.7032222,5322.080769,0,99.09448242
290.4485556,5355.010204,0,44.0080719
355.491,5989.581619,0,45.7116127
322.9697778,6057.598376,0,9.36946106
127.8424444,9536.509175,0,1.00E-08
95.32122222,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,4849.895165,0,1.00E-08
0,21108.8163,0,1.00E-08
886.1128976,14793.21229,0,1.00E-08
0,3569.088195,0,1.00E-08
0,6811.986223,0,1.00E-08
0,5971.216877,0,1.00E-08
0,6073.704642,0,1.00E-08
0,6120.020049,0,1.00E-08
0,6013.427765,0,1.00E-08
0,5798.071941,0,1.00E-08
0,5945.475532,0,1.514256239
0,5635.365701,0,39.46530533
869.4721199,6567.053371,0,52.76236725
192.8848889,5515.057413,0,77.27439117
322.9697778,5258.720987,0,49.78117371
192.8848889,5348.723975,0,52.336483
127.8424444,5836.212978,0,47.41514969
518.0971111,5947.688067,0,20.82102394
160.3636667,11207.78944,0,1.00E-08
290.4485556,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,13733.52569,0,1.00E-08
0,14676.50949,0,1.00E-08
528.3794531,14663.20256,0,1.00E-08
0,3392.38858,0,1.00E-08
0,6508.509148,0,1.00E-08
0,6170.640005,0,1.00E-08
0,6253.164592,0,1.00E-08
0,6238.298442,0,1.00E-08
0,6210.832066,0,1.00E-08
0,6310.583609,0,1.00E-08
0,6242.411549,0,2.744589567
0,6486.605937,0,25.45843315
706.8660088,7559.906331,0,53.33021164
290.4485556,6560.810785,0,73.39411163
322.9697778,6201.507152,0,70.79148102
0,6402.5656,0,53.28289032
580.4740982,6260.01169,0,53.5194931
453.0546667,6022.473135,0,13.29706287
127.8424444,10526.43229,0,1.00E-08
127.8424444,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,13850.02085,0,1.00E-08
0,14698.66706,0,1.00E-08
0,14696.22114,0,1.00E-08
0,3692.944064,0,1.00E-08
0,7037.561476,0,1.00E-08
0,6274.536276,0,1.00E-08
0,6387.123958,0,1.00E-08
0,6357.376542,0,1.00E-08
0,6416.459584,0,1.00E-08
0,6560.143075,0,1.00E-08
0,6728.152315,0,3.312435627
0,6499.453243,0,21.53083038
1662.387358,6101.034935,0,68.29407501
127.8424444,5861.121493,0,58.81939316
290.4485556,5632.066479,0,83.61534119
95.32122222,5047.970899,0,46.65802002
420.5334444,5183.026468,0,54.37126541
778.2668889,5479.617243,0,10.93103695
355.491,13832.7829,0,1.00E-08
160.3636667,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,4967.989279,0,1.00E-08
0,14361.98658,0,1.00E-08
0,14332.62577,0,1.00E-08
821.0704531,14380.27829,0,1.00E-08
0,3046.958158,0,1.00E-08
0,8094.561995,0,1.00E-08
0,6656.316527,0,1.00E-08
0,6836.223718,0,1.00E-08
0,6955.425281,0,1.00E-08
0,8252.89026,0,1.00E-08
0,8537.732438,0,1.00E-08
0,7689.565218,0,5.489179134
0,8332.029818,0,56.06147385
674.3447866,8548.462882,0,78.23033142
388.0122222,7743.431023,0,287.2904053
485.5758889,6646.27851,0,276.8755493
518.0971111,7151.133138,0,363.5658569
420.5334444,7472.669853,0,30.04852295
745.7456667,6059.002447,0,41.6703186
1136.000333,14157.17133,0,1.00E-08
127.8424444,1168.360014,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,7893.518791,0,1.00E-08
0,13999.30009,0,1.00E-08
0,13927.07407,0,1.00E-08
0,13885.25906,0,1.00E-08
685.8411984,13832.27912,0,1.00E-08
0,4080.161515,0,1.00E-08
157.6982093,13711.08131,0,1.00E-08
550.6183333,8591.024088,0,1.00E-08
1461.212556,9680.0271,0,1.00E-08
95.32122222,8419.950883,0,1.00E-08
95.32122222,7788.810827,0,1.00E-08
908.3517778,6419.520084,0,9.121565819
